Company,Type of transaction,Sector,Lead,Other investors,Month,Series,Amount USD,Amount Original Currency,Country,Note
Firefly Aerospace,M&A,Launch,,,,,,,,
Orbex,"Government, Investment, Strategic",Launch,National Investment Bank of Scotland,"Green Future Fund of Denmark, HTGF, Jacobs (strategic), Octopus, Verve",,Series C,40M (check again),,UK,
Latitude,"Government, Investment",Launch,,"BPI, Credit Mutuel Innovation, Expansion",,Series A,10M+,10M eur,France,
Spinlaunch,Investment,Launch,ATW Partners,"Google Ventures, Kleiner Perkins, Lauder Ventures",,Series B,71M,71M USD,US,mix of equity and debt
InnoSpace,Investment,Launch,Korea Investemt Partners,,,Series B,15.7M,,South Korea,
Skyroot,Investment,Launch,GIC of Singapore,,,,51M,,India,
Temis,M&A,Components,,,,,,,Italy,Avionics equipment manufacturer acquisition + 5% acquisition in Temis’s mother company
HyPr Space,Investment,Launch,,,,,,1.1M Eur,France,
Pythom Space,Investment,Launch,SpaceCowboys AB,,,,0.7M,,Sweden,
MaiaSpace,Corporate Investment,,ArianneGroup,,,Seed,,,France,
D-Orbit,CLA,OTV,,"C16, Primo Ventures, United Ventures",,CLA,51M,,Italy,a bit messy as a result of the called off spac
D-Orbit,Cancelled SPAC,OTV,,,,,,,,
Impulse Space,Investment,OTV,Founders Fund,,,Seed I,20M,20M USD,US,
Impulse Space,Investment,OTV,Lux Capital,,,Seed II,10M,10M USD,US,
Atmos Space,Investment,OTV,Cantos,OSV,,,5M,5M USD,US,nuclear propulsion is a massive deal
Porkshop,Failure,OTV,,,,,,,,failed following unability to raise 3M seed round
Plasmos,In-kind investment,OTV,Velo3D,,,,,,,250k USD in-kind investment
Benchmark Space Systems,CLA,Propulsion,,,,CLA,4M,4M USD,US,a set of Vermont-based investors added up to 4M CLA
Alameda Applied Sciences Corporation,M&A,Propulsion,,,,,,,US,
Morpheus Space,Investment,Propulsion,Alpine Space Ventures,"Airbus Ventures, In-Q-Tel, Lavrock Ventures",,Series A,28M,,Germany,
Ion-X,Investment,Propulsion,TF Participations,,,Seed,3.8M,,France,
Terran Orbital,Strategic,Satellite Manufacturing,Lockheed Martin,,,post-IPO equity,100M,100M USD,US,LM now over 1/3 ownership
Terran Orbital,"Investment, Strategic",Satellite Manufacturing,,,,,,,US,other investments in 2022
GomSpace,Government,Satellite Manufacturing,EIB of Europe,,,,,,Denmark,
York Space Systems,M&A,Satellite Manufacturing,,,,,,,US,
AerospaceLabs,"Government, Investment, Strategic",Satellite Manufacturing,,,,,40M,40M Eur,Belgium,
Loft,,"Other Business Models, Satellite Manufacturing",BlackRock,,,,,,US,
Apax,Investment,Satellite Manufacturing,A16Z,"Lux, Village Global",,Seed,7.75M,7.75M USD,US,
Reflex Aerospace,Investment,Satellite Manufacturing,Alpine Space Ventures,HTGF,,Seed,7M,,Germany,there should have been one more round Q1 ‘23
U-Space,"Government, Investment",Satellite Manufacturing,Karot Capital,"BNP Paribas, Definvestment",,,7M+,7M Eur,France,
Celestia Aerospace,Sketchy investment,Satellite Manufacturing,,,,,,,,supposedly raised 100M but I don’t believe a word of it
Solestial,"Investment, Strategic",Components,Airbus Ventures,"AE HorizonX, Industrious Ventures",,Seed,10M,10M USD,US,
QinetiQ,M&A,,,,,,,,,
Slingshot Aerospace,M&A,,,,,,,,,Seradata
Slingshot Aerospace,M&A,,,,,,,,,Numerica’s optical division
SlingShot Aerospace,Investment,SSA,"ATX, Draper VC",,,Series A I,25M,25M USD,US,oversubscribed
Slingshot Aerospace,Investment,SSA,Svay Ventures,,,Series A II,40.8M,40.8M USD,US,
Scout Space,Investment,SSA,Virginia Innovation Partnership Corp,Decision Point,,,,,US,
Neura Space,Investment,SSA,,,,,2.5M+,2.5M Eur,Portugal,
Neura Space,"Government, Investment",SSA,Resiliance and Recovery Funds of Europe,,,,,25M Eur,Portugal,
Okapi Orbits,"Investment, Strategic",SSA,MunichRe,"Apex Ventures, Dolby Family Ventures, Herius Capital",,,5.5M,,Germany,
Vyoma,Investment,SSA,Atlantic Labs,Happiness Capital,,Seed extension,,,Germany,
StellSpace,Investment,Software,Wischoff Ventures,Third Prime VC,,Pre-Seed,3.1M,3.1M USD,US,
Epsilon 3,Investment,Software,,,,Seed,2.7M,2.7M USD,US,
Epsilon 3,Investment,Software,Lux Capital,"MaC venture Capital, Moore Ventures, YCommbinator",,Series A,15M,15M USD,US,
Charter Space,Investment,Software,,"7 percent Ventures, Techstars",,,1.2M,not sure,UK,
Hostmi,M&A,Software,,,,,,,Germany,Precisious Payload does a relatively small acquisition
LeanSpace,Investment,Software,Karista (Cosmi Capital),"42Cap, Herius Capital",,,6.4M,,France,Non-equity assistance from BPI
Cysec,"Investment, Strategic","Cybersecurity, Software",,"Karista (CosmiCapital), Line Break Capital",,Seed extension,4.5M + 2M Euros,,Switzerland,"bit complicated, basically two distinct rounds, seed (2021), seed extension, seed extension II"
Antaris,Investment,,,,,,,,US,
Aerojet Rocketdyne,M&A,,,,,,,,US,by L3 Harris
Tactical Data Links,M&A,,,,,,,,US,from ViaSat
Orolioa,M&A,,,,,,,,,by Safran
Syrlinks,M&A,,,,,,,,,by Safran
Captronic Systems,M&A,,,,,,,,India,by Safran
DSI Datasicherheit,M&A,,,,,,,,Germany,by Airbus
Firehawk Aerospace,"Investment, Strategic",Propulsion,Raytheon,"Draper VC, Hemisphere Ventures, Star Castle VC, Stellar VC",,Series B,15.5M,15.5M USD,US,should add up to 17.M
NORSS,M&A,,,,,,,,UK,by Raytheon UK
X-Bow Launch System,"Investment, Strategic",Propulsion,"Broom Ventures, Lockheed Martin ventures","CrossLink, Razor's Edge ventures",,Series A,27M,27M USD,US,
Volansi,M&A,,,,,,,,US,distressed acquisition by Sierra Nevada Corporation
SpaceX,Investment,,,,,,,,US,Another set of very late rounds
Mangata Networks,"Government, Investment, Strategic",Megaconstellations,Playground Global,"Karista (CosmiCapital), MetaVC, Promus VC, Scottish Enterprise, Temasek",,Series A,33M,33M USD,US,large debt financing towards the end of the year
E-Space,Investment,Megaconstellations,Prime Movers Labs,,,Seed,50M,,US,
CommAgility,M&A,,,,,,,,US,acquired by E-Space
Kymeta,"Investment, Strategic",User Terminals,Bill Gates,Hanwha Systems,,,,,US,
SatixFy,SPAC,,,,,,,,,
Cesium Astro,"Investment, Strategic","Components, User Terminals","Airbus Ventures, Forever Venutres (of Philip Sarofim)","Kleiner Perkins, L3 Harris, Lavrock Ventures",,Series B,60M,60M USD,US,
Anywaves,Investment,User Terminals,Ylliade Groupe,,,,3M,,France,
Thorium Space technology,Investment,Components,,,,,1.3M,,Poland,
Utvate,Investment,User Terminals,Fifty Years,"Blue Yard capital, MaC venture Capital, Uncorellated Ventures",,,8M,8M USD,US,
Hubble Networks,Investment,Satellite IoT,,"SpaceVC, Type One VC, YesVC",,,,,US,very early round so not much disclosed
OQ Tech,"Investment, Strategic",Satellite IoT,Saudi Aramco Venture Arm,5G fund,September,,13M USD,,Luxembourg,
Satelliot,"Investment, Strategic",Satellite IoT,"Cellnex, Indra (Venture Arm thereof)",,January,Series A,10M,,Spain,
