Company,Country,Sub Area,Major Category,Subcategory,Amount Orig. Currency,Amout MUSD,Stage,Lead Investor,Other Investor,Strategics,Month,News Link,Notes
Atmos Space Cargo,Germany,N/A,Space Infrastructure,ISAM,4M EUR,4,seed,HTGF,Seraphim SPace;E2MC;Ventis;Another.vc;APEX Fund,no,June,https://techcrunch.com/2023/06/23/atmos-space-cargo-return-capsules-for-in-space-research/,"HTGF is serious, the guy formerly in the german air force; how does this compare with other (US) Varda, return capsules, how about Roentgen's new life sciences startup; apparent focus on bio as opposed to semiconductors/fiber probably for the good"
Apex Spacecraft,US,CA,Spacecraft Manufacturing,System Integration,16M USD,16,Series A,"A16Z, Shield Capital",N/A,no,June,https://spacenews.com/apex-raises-16-million-for-spacecraft-factory/; https://www.cnbc.com/2023/06/22/spacecraft-builder-apex-raises-16-million-from-a16z-shield-capital.html,"27M USD to date; still don't get it; currently 3 listed customers - OrbitFab, Ubotica and a classified entity, will this be enough to scale up??; certainly good investor base to work with, tho no space experience across the board"
Digantara,India,N/A,SSA,N/A,10M,10,Series A,Peak XV Partners (Ex-Sequoia India); ,Kalaari Capital; Global Brain VC; Campus Fund,no,June,https://techcrunch.com/2023/06/20/digantara-funding-peak-xv-partners/,"those guys are rather strugling, suprised the round came togther; promise of SSA data fusion, own sensors and data platform - increasing competition in the space; raised 12.5M to date; who are the other VCs, first Sequioa SA space ticket"
Tomorrow.io,US,MA,Weather,N/A,87M USD,87,Series E,Activate Capital,RTX Ventures; Seraphim; Chemonics; SquarePeg; Canaan; Clear Vision; JetBlue Ventures; Pitango Growth,yes,June,https://www.tomorrow.io/blog/tomorrow-io-successfully-launches-second-satellite-and-closes-series-e-funding/,"R1,R2 satellites + improving traction, this looks good, string investor base - who are the growth ppl, Raytheon does a lot GEO weather sats, maybe a change of approach?"
Orbit Fab,US,CO,Space Infrastructure,ISAM,28.5M USD,28.5,Series A,8090 Industries,Stride Capital; Industrious Ventures; Lockheed Martin Ventures; Tribe Capital; Good Growth Capital; Massive Capital Partners,yes,April,https://spacenews.com/orbit-fab-raises-28-5-million/,followup from supposedly small 8090 ticket; OF must have a massive burn; not yet clear where any results are; leadership shakeup in the company; continued belief of the strong investor base
Kepler Communications,Canada,N/A,Space Infrastructure,Data-relay,92M USD,92,Series C,IA Ventures,Costanoa; Canaan; Tribe Capital; BDC Capital,no,April,https://techcrunch.com/2023/04/13/kepler-communications-closes-92m-series-c-to-grow-real-time-satellite-data-relay-network/,"200M USD to date; all of the competitors are failling, contrary Kepler is moving forward, have a look at the tech and what would it imply for other space companies; a lot of growth generalist investors, that is interesting"
Argo Space Corporation,US,CA,Space Infrastructure,Lunar,2M USD,2,Pre-Seed,Type One Ventures,Boost VC; Stellar Ventures; Earthrise Ventures,no,April,https://techcrunch.com/2023/04/13/spacex-to-build-spacecraft-powered-by-moon-water/,I don't understand this one either. But Stellar people justified this as in 8 years this should be much more relevant. I disagree. Too much hype IMO
True Anomaly,US,CO,Space Infrastructure,Security,17M USD,17,Series A,Eclipse Ventures,Riot Ventures; Champion Hill; Space.VC; Narya,no,April,https://www.satellitetoday.com/business/2023/04/06/space-security-company-true-anomaly-emerges-from-stealth-with-30m-in-financing/,30M to date; doing nicely; who are the other VCs?
Exotrail,France,N/A,Space Mobility,Propulsion,58M USD,58,Series B,Bpifrance,Innovation Defense Fund; Eurazeo; 360 Capital; Karista; Irdi Capital; Investissement; Innovacom; iXO Private Equity; NCI-Waterstart; BNP Paribas; Banque Populaire,no,February,https://www.exotrail.com/blog/exotrail-raises-58m-in-a-series-b-round-to-scale-up-and-pursue-its-ambitions-for-space-mobility-worldwide,welcome to France where nobody but gov't invests in space; apart from propulsion introduces spaceware and spacetower - ops software and space logistics service; notes to grow in Asia - how?; Michael Thomas said they are doing very well; press release notes doubling employees (to 250??) thats a whole lot of burn
ISAR Aerospace,Germany,N/A,Launcher,N/A,165M USD,165,Series C,,7-Industries holding; Bayern Kapital; Earlybird; Porsche; HV Capital; UVC Partners; Lakestar; Lombard Odier IM;,no,March,https://www.isaraerospace.com/press/space-company-isar-aerospace-secures-series-c-funding-round-of-usd-165m,ISAR aerospace - a unique intersection of overfunding and gross disappointment; note the EU/EIF instruments; the largest EU spacetech round; evershifting inaugual launch
